name,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
Casa Vilabella,429411.9956879204,4583969.283253999,41.40416890235721,2.155505247349864
Edifici Modernista Francisco Giner 47,429648.9654881059,4583479.8560768,41.39978158248624,2.1583968710038635
Edifici d'Habitatges Gran de Gràcia 138,429239.7744183132,4583696.773875725,41.40169937350612,2.153476912041365
Ermita de la Mare de Déu de la Salut,429554.0921362488,4584787.413305935,41.41154995474912,2.15710983691872
Fàbrica Artés,429973.003344368,4583457.220364841,41.3996059970396,2.1622755265173805
La plaça de Gal·la Placídia,429191.75095705007,4583353.812210807,41.39860621855363,2.1529425675079312
Reial Acadèmia de Medicina de Catalunya,430513.7755056811,4581444.403115301,41.38152411821448,2.168974973139409
Centre Cívic Casa Orlandai,426828.2269232857,4583349.96874513,41.3983599977031,2.1246720318706647
Pavelló Mies van der Rohe,428896.8134737088,4580274.081203343,41.370842160327136,2.149776113823393
Parròquia de Sant Gregori Taumaturg,427972.380906818,4582879.057584442,41.39422199323784,2.138413658076152
Casal de Barri Pou de la Figuera,431330.3364170868,4582177.700125997,41.38819881761839,2.17865660673348
Centre Cultural Teresa Pàmies,429104.3900796711,4582054.417869556,41.38689535147527,2.152049712385728
Esplai Tr3smon,428212.9533849704,4579055.054962814,41.3598021106686,2.1417439533847342
Plaça de la Mercè,431396.765,4581200.018,41.37939878522798,2.1795617635934748
Hotel W Barcelona - HB-004411 *Edifici Vela,432258.0028452148,4579966.448897408,41.36836130546307,2.1899983126477727
Cereria Subirà,431274.54305880365,4581691.110863043,41.38381148695298,2.1780445376953748
Espai Jove La Fontana,429145.107,4583870.521,41.40325591053633,2.1523241627536023
Jardins dels Drets Humans,427793.14943931415,4579195.172504869,41.36102656268192,2.1367088188150576
Església del Reial Santuari de Sant Josep de la Muntanya,429309.31553899625,4584666.558433211,41.4104399702781,2.154195493067497
Associació Xarxa de Consum Solidari,431500.37,4582136.94,41.387846200809165,2.1806947519007056
Mercat Encants Barcelona - Fira de Bellcaire,431930.0672997694,4583600.390367976,41.401063548775554,2.1856692459565465
